record_id,source_type,source_name,pmid,pmcid,title,hospital,city,state,icd10,meso_type,case_count,year_start,year_end,latitude,longitude,catchment_km,journal,affiliation,screen_score,screen_reasons,screen_status,provenance_url,notes
LIT-PMID-41877375,NCBI Literature,PubMed/PMC,41877375,,"Global epidemiology of ovarian cancer: patterns, trends, and risk factors.",,,,Asbestos,All,0,2026,2026,,,90,Cancer biology & medicine,"Department of Gynecological Oncology, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing 100020, China",-1,"mesothelioma-term,india-signal,non-primary-cue",review,https://pubmed.ncbi.nlm.nih.gov/41877375/,doi:10.20892/j.issn.2095-3941.2025.0619
LIT-PMID-41652913,NCBI Literature,PubMed/PMC,41652913,PMC12981211,Commentary on Notification and Recordkeeping of Occupational Mesothelioma in India.,,,,Asbestos,All,0,2026,2026,,,90,American journal of industrial medicine,"Department of Environmental and Occupational Health, Dornsife School of Public Health, Drexel University, Philadelphia, Pennsylvania, USA",-1,"mesothelioma-term,india-signal,non-primary-cue",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC12981211/,doi:10.32388/79SLQN
LIT-PMID-41557153,NCBI Literature,PubMed/PMC,41557153,,"Impact of microclimatic modifications on THI, milk production and economic returns in lactating Murrah buffaloes under a loose housing system.","Livestock Production Management, College",,Haryana,Asbestos,All,0,2026,2026,,,90,International journal of biometeorology,"Department of Livestock Production Management, LUVAS, Hisar, 125004, Haryana, India",8,"mesothelioma-term,india-signal,hospital-detected,india-location",review,https://pubmed.ncbi.nlm.nih.gov/41557153/,doi:10.1016/S2542-5196(22)00002-X
LIT-PMID-41710678,NCBI Literature,PubMed/PMC,41710678,PMC11320099,"Malignant Pleural Mesothelioma in an Asbestos Industry Worker: A Posthumous Case Report from Haryana, India.",,,Haryana,Asbestos,All,2,2025,2025,,,90,Indian journal of occupational and environmental medicine,"Department of Labour, Govt. of Haryana Panipat, Haryana, India",11,"mesothelioma-term,india-signal,primary-study-cue,india-location,cohort-count",promote,https://pmc.ncbi.nlm.nih.gov/articles/PMC11320099/,doi:10.4103/ijoem.ijoem_355_24
LIT-PMID-41000262,NCBI Literature,PubMed/PMC,41000262,PMC6204411,Challenges in Identifying and Diagnosing Asbestos-Related Diseases in Emerging Economies: A Global Health Perspective.,,Kolkata,West Bengal,Asbestos,All,0,2025,2025,,,90,Annals of global health,"Directorate of Factories, Government of West Bengal, 1, K.S. Roy Road, Kolkata-1, West Bengal, India",0,"mesothelioma-term,india-signal,india-location,non-primary-cue",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC6204411/,doi:10.21037/tlcr.2018.04.09
LIT-PMID-40520135,NCBI Literature,PubMed/PMC,40520135,PMC12143244,Work‑Related Migration to the Alang Ship‑Breaking Industry from Other Parts of India: An Overview of Health‑Related Issues.,,,Gujarat,Asbestos,All,0,2025,2025,,,90,Annals of global health,"Post-Doctoral Fellow, Department of Environmental and Occupational Health, Dornsife School of Public Health, Drexel University, Philadelphia, PA, USA",0,"mesothelioma-term,india-signal,india-location,non-primary-cue",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC12143244/,doi:10.1136/OEM-2023-EPICOH.238
LIT-PMID-40082525,NCBI Literature,PubMed/PMC,40082525,PMC4470698,Disentangling the effects of various risk factors and trends in lung cancer mortality.,,,,Asbestos,All,0,2025,2025,,,90,Scientific reports,"School of Medicine, Tulane University, New Orleans, LA, 70112, USA",-5,"mesothelioma-term,india-signal,non-primary-cue,non-meso-cohort-cue",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC4470698/,doi:10.1007/s11033-022-07117-6
LIT-PMID-40003441,NCBI Literature,PubMed/PMC,40003441,PMC11760227,"Marble Waste Dump Yard in Rajasthan, India Revealed as a Potential Asbestos Exposure Hazard.",,,Rajasthan,Asbestos,All,0,2025,2025,,,90,International journal of environmental research and public health,"Department of Environmental and Occupational Health, Dornsife School of Public Health, Drexel University, Philadelphia, PA 19104, USA",0,"mesothelioma-term,india-signal,india-location,non-primary-cue",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC11760227/,doi:10.1101/2024.10.21.24315894
LIT-PMID-39968204,NCBI Literature,PubMed/PMC,39968204,PMC6724220,Evolving trends in lung cancer risk factors in the ten most populous countries: an analysis of data from the 2019 Global Burden of Disease Study.,,,,Asbestos,All,0,2025,2025,,,90,EClinicalMedicine,"Sylvester Comprehensive Cancer Center at the University of Miami, Miami, FL, USA",-1,"mesothelioma-term,india-signal,non-primary-cue",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC6724220/,doi:10.1200/JCO.2022.40.16_suppl.e21081
LIT-PMID-39928255,NCBI Literature,PubMed/PMC,39928255,PMC9167799,Epidemiology of colorectal cancer: A review with special emphasis on India.,Homi Bhabha National Institute,Mumbai,Maharashtra,Asbestos,All,0,2025,2025,,,90,Indian journal of gastroenterology : official journal of the Indian Society of Gastroenterology,"Homi Bhabha National Institute, Training School Complex, Anushakti Nagar, Mumbai, 400 094, India",-2,"mesothelioma-term,india-signal,hospital-detected,india-location,non-primary-cue,non-meso-cohort-cue",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9167799/,doi:10.1016/j.hoc.2022.02.001
