record_id,source_type,source_name,pmid,pmcid,title,hospital,city,state,icd10,meso_type,case_count,year_start,year_end,latitude,longitude,catchment_km,journal,affiliation,screen_score,screen_reasons,screen_status,provenance_url,notes
LIT-PMID-42634746,NCBI Literature,PubMed/PMC,42634746,PMC11949723,First-Line Nivolumab Plus Ipilimumab in Inoperable Epithelioid Malignant Pleural Mesothelioma: Real-World Experience From an Indian Tertiary Care Center.,,,,C45,All,0,2026,2026,,,90,Cureus,"Medical Oncology, Geetanjali Medical College, Udaipur, IND",8,"mesothelioma-term,india-signal,primary-study-cue",promote,https://pmc.ncbi.nlm.nih.gov/articles/PMC11949723/,doi:10.7759/cureus.113313
LIT-PMID-42379051,NCBI Literature,PubMed/PMC,42379051,,Systematic total parietal peritonectomy for peritoneal mesothelioma-perioperative and oncological outcomes in an Indian cohort of 100 patients.,"Surgical Oncology, Tata Memorial Hospital",Mumbai,Maharashtra,C45,All,100,2026,2026,,,90,European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology,"Division of Gastrointestinal Surgical Oncology, Department of Surgical Oncology, Tata Memorial Hospital, Mumbai, 400012, India; Department of Surgical Oncology, Advanced Centre for Treatment, Research, and Education in, Cancer, Navi Mumbai, 410210, India; Homi Bhabha National Institute, Mumbai, India. Electronic address:",13,"mesothelioma-term,india-signal,primary-study-cue,hospital-detected,india-location,cohort-count",promote,https://pubmed.ncbi.nlm.nih.gov/42379051/,doi:10.1016/j.ejso.2026.111978
LIT-PMID-41710678,NCBI Literature,PubMed/PMC,41710678,PMC11320099,"Malignant Pleural Mesothelioma in an Asbestos Industry Worker: A Posthumous Case Report from Haryana, India.",,,Haryana,C45,All,1,2025,2025,,,90,Indian journal of occupational and environmental medicine,"Department of Labour, Govt. of Haryana Panipat, Haryana, India",7,"mesothelioma-term,india-signal,primary-study-cue,india-location,cohort-count,non-meso-cohort-cue",promote,https://pmc.ncbi.nlm.nih.gov/articles/PMC11320099/,doi:10.4103/ijoem.ijoem_355_24
LIT-PMID-39677167,NCBI Literature,PubMed/PMC,39677167,PMC3734959,Cytoreductive Surgery and Hyperthermic Intraperitoneal Chemotherapy for Peritoneal Mesothelioma: Outcomes From a Tertiary Cancer Care Center in India.,"Surgical Oncology, All India Institute",New Delhi,Delhi,C45,All,0,2024,2024,,,90,Cureus,"Surgical Oncology, All India Institute of Medical Sciences, New Delhi, Delhi, IND",11,"mesothelioma-term,india-signal,primary-study-cue,hospital-detected,india-location",promote,https://pmc.ncbi.nlm.nih.gov/articles/PMC3734959/,doi:10.7759/cureus.73658
LIT-PMID-38409016,NCBI Literature,PubMed/PMC,38409016,PMC5740834,Testicular mesothelioma disguised as hydrocele: a case report.,VPS Lakeshore Hospital,,Kerala,C45,All,1,2024,2024,,,90,Journal of medical case reports,"VPS Lakeshore Hospital & Research Centre, Kochi, Kerala, India",9,"mesothelioma-term,india-signal,primary-study-cue,hospital-detected,india-location,cohort-count,non-meso-cohort-cue",promote,https://pmc.ncbi.nlm.nih.gov/articles/PMC5740834/,doi:10.3390/uro2040031
LIT-PMID-34673582,NCBI Literature,PubMed/PMC,34673582,,Malignant mesothelioma: A clinicopathological study of 76 cases with emphasis on immunohistochemical evaluation along with review of the literature.,"Pathology, Geetanjali Medical College",,Rajasthan,C45,All,76,2021,2021,,,90,Indian journal of pathology & microbiology,"Department of Pathology, Geetanjali Medical College and Hospital, Udaipur, Rajasthan, India",13,"mesothelioma-term,india-signal,primary-study-cue,hospital-detected,india-location,cohort-count",promote,https://pubmed.ncbi.nlm.nih.gov/34673582/,doi:10.4103/IJPM.IJPM_617_20
LIT-PMID-34090452,NCBI Literature,PubMed/PMC,34090452,PMC7137266,Feasibility and outcomes of cytoreductive surgery and HIPEC for peritoneal surface malignancies in low- and middle-income countries: a single-center experience of 232 cases.,"Surgical Oncology, Dr. BRA-IRCH, AIIMS",New Delhi,Delhi,C45,All,0,2021,2021,,,90,World journal of surgical oncology,"Department of Surgical Oncology, Dr. BRA-IRCH, AIIMS, New Delhi, 110029, India",11,"mesothelioma-term,india-signal,primary-study-cue,hospital-detected,india-location",promote,https://pmc.ncbi.nlm.nih.gov/articles/PMC7137266/,doi:10.1186/s12957-020-01837-4
LIT-PMID-33189965,NCBI Literature,PubMed/PMC,33189965,,Paratesticular tumors. A clinicopathological study from a single tertiary hospital in North India.,"Pathology, Christian Medical College",,Punjab,C45,All,0,2021,2021,,,90,Annals of diagnostic pathology,"Department of Pathology, Christian Medical College and Hospital, Ludhiana, Punjab, India. Electronic address:",11,"mesothelioma-term,india-signal,primary-study-cue,hospital-detected,india-location",promote,https://pubmed.ncbi.nlm.nih.gov/33189965/,doi:10.1016/j.anndiagpath.2020.151658
LIT-PMID-30604735,NCBI Literature,PubMed/PMC,30604735,,Malignant mesothelioma: A histomorphological and immunohistochemical study of 24 cases from a tertiary care hospital in Southern India.,"Pathology, Nizam's Institute",Hyderabad,Telangana,C45,All,24,2018,2018,,,90,Indian journal of cancer,"Department of Pathology, Nizam's Institute of Medical Sciences, Punjagutta, Hyderabad, Telangana, India",13,"mesothelioma-term,india-signal,primary-study-cue,hospital-detected,india-location,cohort-count",promote,https://pubmed.ncbi.nlm.nih.gov/30604735/,doi:10.4103/ijc.IJC_584_17
LIT-PMID-27855557,NCBI Literature,PubMed/PMC,27855557,,201 consecutive cytoreductive surgery (CRS) and hyperthermic intraperitoneal chemotherapy (HIPEC) procedures in a single Asian tertiary centre.,,,,C45,All,0,2017,2017,,,90,"International journal of hyperthermia : the official journal of European Society for Hyperthermic Oncology, North American Hyperthermia Group","a Division of Surgical Oncology , National Cancer Centre Singapore , Singapore , Singapore",8,"mesothelioma-term,india-signal,primary-study-cue",promote,https://pubmed.ncbi.nlm.nih.gov/27855557/,doi:10.1080/02656736.2016.1262064
LIT-PMID-27543099,NCBI Literature,PubMed/PMC,27543099,PMC1994863,Co-existing tuberculosis and malignant mesothelioma with multiple sites venous thrombosis: a case report.,"Family Medicine, Sir Gangaram Hospital",New Delhi,Delhi,C45,All,1,2016,2016,,,90,BMC research notes,"Department of Family Medicine, Sir Gangaram Hospital, New Delhi, 110060, India",9,"mesothelioma-term,india-signal,primary-study-cue,hospital-detected,india-location,cohort-count,non-meso-cohort-cue",promote,https://pmc.ncbi.nlm.nih.gov/articles/PMC1994863/,doi:10.4065/80.7.867
LIT-PMID-25104207,NCBI Literature,PubMed/PMC,25104207,,Initial experience with hyperthermic intra peritoneal chemotherapy and cytoreductivesurgery.,"Surgical Oncology, Lilavati Hospital",Mumbai,Maharashtra,C45,All,0,2014,2014,,,90,Indian journal of cancer,"Department of Surgical Oncology, Lilavati Hospital and Research Centre, Mumbai, Maharashtra, India",11,"mesothelioma-term,india-signal,primary-study-cue,hospital-detected,india-location",promote,https://pubmed.ncbi.nlm.nih.gov/25104207/,doi:10.4103/0019-509X.138304
LIT-PMID-24426503,NCBI Literature,PubMed/PMC,24426503,PMC3693390,A rare case of benign multicystic peritoneal mesothelioma: a clinical dilemma.,"Surgery, Kasturba Medical College",,Punjab,C45,All,1,2013,2013,,,90,The Indian journal of surgery,"Department of Surgery, Kasturba Medical College, Mangalore, India ; Department of Plastic Surgery & Burns, Dayanand Medical College & Hospital, Ludhiana, India ; 236- Civil Street, Ghumar Mandi, Ludhiana, Punjab India",10,"mesothelioma-term,india-signal,hospital-detected,india-location,cohort-count",promote,https://pmc.ncbi.nlm.nih.gov/articles/PMC3693390/,doi:10.1007/s12262-011-0314-6
LIT-PMID-1548893,NCBI Literature,PubMed/PMC,1548893,,Primary pleural mesotheliomas in south India: a 25-year study.,"Pathology, St. John's Medical College",Bangalore,Karnataka,C45,All,15,1992,1992,,,90,Journal of surgical oncology,"Department of Pathology, St. John's Medical College, Bangalore, India",9,"mesothelioma-term,india-signal,primary-study-cue,hospital-detected,india-location,cohort-count,non-meso-cohort-cue",promote,https://pubmed.ncbi.nlm.nih.gov/1548893/,doi:10.1002/jso.2930490313
