record_id,source_type,source_name,study_or_registry,hospital,city,state,icd10,meso_type,case_count,year_start,year_end,latitude,longitude,catchment_km,provenance_url,notes
REG-AP-VSKP-001,Hospital Registry,NCRP Supplementary Table S1,iutld_pha_24.0003 supplementary table,Homi Bhabha Cancer Hospital & Research Centre,Visakhapatnam,Andhra Pradesh,C45,All,9,2012,2023,17.6868,83.2185,120,https://doi.org/10.5588/pha.24.0003,Counts from supplementary table hospital row
REG-AP-TPT-001,Hospital Registry,NCRP Supplementary Table S1,iutld_pha_24.0003 supplementary table,Sri Venkateswara Institute of Medical Sciences,Tirupati,Andhra Pradesh,C45,All,12,2012,2023,13.6288,79.4192,120,https://doi.org/10.5588/pha.24.0003,Counts from supplementary table hospital row
REG-AS-GHY-001,Hospital Registry,NCRP Supplementary Table S1,iutld_pha_24.0003 supplementary table,Dr Bhubaneshwar Barooah Cancer Institute,Guwahati,Assam,C45,All,9,2012,2023,26.1445,91.7362,120,https://doi.org/10.5588/pha.24.0003,Counts from supplementary table hospital row
REG-GJ-AMD-001,Hospital Registry,NCRP Supplementary Table S1,iutld_pha_24.0003 supplementary table,Gujarat Cancer and Research Institute,Ahmedabad,Gujarat,C45,All,303,2012,2023,23.0225,72.5714,140,https://doi.org/10.5588/pha.24.0003,Counts from supplementary table hospital row
REG-GJ-BVN-001,Hospital Registry,NCRP Supplementary Table S1,iutld_pha_24.0003 supplementary table,Sir Takhtsinhji Hospital,Bhavnagar,Gujarat,C45,All,3,2012,2023,21.7645,72.1519,120,https://doi.org/10.5588/pha.24.0003,Counts from supplementary table hospital row
REG-GA-PNJ-001,Hospital Registry,NCRP Supplementary Table S1,iutld_pha_24.0003 supplementary table,Goa Medical College and Hospital,Panaji,Goa,C45,All,6,2012,2023,15.4909,73.8278,120,https://doi.org/10.5588/pha.24.0003,Counts from supplementary table hospital row
REG-CT-RPR-001,Hospital Registry,NCRP Supplementary Table S1,iutld_pha_24.0003 supplementary table,Dr Bhimrao Ambedkar Memorial Hospital,Raipur,Chhattisgarh,C45,All,1061,2012,2023,21.2514,81.6296,150,https://doi.org/10.5588/pha.24.0003,High burden row from supplementary table
REG-HR-RTK-001,Hospital Registry,NCRP Supplementary Table S1,iutld_pha_24.0003 supplementary table,Pt Bhagwat Dayal Sharma PGIMS,Rohtak,Haryana,C45,All,2,2012,2023,28.8955,76.6066,120,https://doi.org/10.5588/pha.24.0003,Counts from supplementary table hospital row
REG-HP-TND-001,Hospital Registry,NCRP Supplementary Table S1,iutld_pha_24.0003 supplementary table,Dr Rajendra Prasad Government Medical College,Tanda,Himachal Pradesh,C45,All,2,2012,2023,32.0998,76.2656,120,https://doi.org/10.5588/pha.24.0003,Counts from supplementary table hospital row
REG-PBCR-IND-2024,PBCR,NCDIR PBCR Report,Mathur et al 2025 JAMA Oncology,PBCR Aggregated Regions (43 registries),Multiple cities,Multiple,C45,All,0,2015,2019,22.9734,78.6569,0,https://ncdirindia.org/All_Reports/PBCR_Annexures/Default.aspx,Use scripts to split per PBCR registry area
